economy;economycode;female;age;educ;inc_q;emp_in;urbanicity;dig_account;borrowed;saved;fin2;anydigpayment;fin45;internet_use
Saudi Arabia;SAU;2;43;3;3;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;1;18;2;3;2;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;1;43;3;2;1;1;1;0;1;1;1;1;1
Saudi Arabia;SAU;1;40;2;1;2;2;1;0;1;1;1;3;1
Saudi Arabia;SAU;2;25;3;5;1;1;1;0;1;1;1;4;1
Saudi Arabia;SAU;1;22;2;2;2;2;1;0;0;1;1;3;1
Saudi Arabia;SAU;1;26;2;3;2;2;0;0;0;2;0;7;1
Saudi Arabia;SAU;2;49;2;1;1;2;1;1;1;1;1;6;1
Saudi Arabia;SAU;2;36;2;2;1;2;1;0;1;1;1;4;1
Saudi Arabia;SAU;2;29;3;1;1;2;1;1;1;1;1;7;1
Saudi Arabia;SAU;2;56;2;4;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;1;21;2;5;1;2;1;1;0;1;1;7;1
Saudi Arabia;SAU;2;30;2;1;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;2;35;3;4;1;2;1;1;1;1;1;2;1
Saudi Arabia;SAU;2;34;3;1;2;2;0;0;0;2;0;2;1
Saudi Arabia;SAU;2;19;2;5;1;2;0;0;0;2;0;5;0
Saudi Arabia;SAU;1;25;3;5;2;2;1;1;1;1;1;5;1
Saudi Arabia;SAU;2;39;3;3;1;2;0;0;0;2;0;7;1
Saudi Arabia;SAU;2;50;2;3;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;1;16;2;3;2;2;0;0;0;2;0;5;1
Saudi Arabia;SAU;2;32;2;4;1;2;1;1;1;1;1;5;1
Saudi Arabia;SAU;2;34;3;2;1;2;1;0;1;1;1;3;1
Saudi Arabia;SAU;2;18;2;4;1;2;1;0;0;1;1;4;1
Saudi Arabia;SAU;1;40;2;3;2;2;1;0;0;1;1;4;1
Saudi Arabia;SAU;1;17;3;2;2;1;0;0;0;2;0;7;1
Saudi Arabia;SAU;2;26;2;5;1;2;1;1;1;1;1;3;1
